ID,機種,燃料種類,熱源種類,冷房／暖房,特性種類,下限,上限,特性ID,基整促係数,冷却水温度下限,冷却水温度上限
AirSourceHP_Screw,空冷ヒートポンプ(スクリュー),電力,空冷,Cooling,能力比,25,40,Cq_AS_A,0.95,,
AirSourceHP_Screw,空冷ヒートポンプ(スクリュー),電力,空冷,Cooling,入力比,25,40,Cp_AS_A,1.2,,
AirSourceHP_Screw,空冷ヒートポンプ(スクリュー),電力,空冷,Cooling,部分負荷特性,0.1,1,Cx_AS_A,1,,
AirSourceHP_Screw,空冷ヒートポンプ(スクリュー),電力,空冷,Cooling,送水温度特性,5,15,Cw_AS_A,1,,
AirSourceHP_Screw,空冷ヒートポンプ(スクリュー),電力,空冷,Heating,能力比,-15,-8,Hq_AS_A1,0.95,,
AirSourceHP_Screw,空冷ヒートポンプ(スクリュー),電力,空冷,Heating,能力比,-8,4.5,Hq_AS_A2,0.95,,
AirSourceHP_Screw,空冷ヒートポンプ(スクリュー),電力,空冷,Heating,能力比,4.5,15.5,Hq_AS_A3,0.95,,
AirSourceHP_Screw,空冷ヒートポンプ(スクリュー),電力,空冷,Heating,入力比,-15,15.5,Hp_AS_A,1.2,,
AirSourceHP_Screw,空冷ヒートポンプ(スクリュー),電力,空冷,Heating,部分負荷特性,0.1,1,Hx_AS_A,1,,
AirSourceHP_Screw,空冷ヒートポンプ(スクリュー),電力,空冷,Heating,送水温度特性,35,57,Hw_AS_A,1,,
AirSourceHP_Scroll,空冷ヒートポンプ(スクロール),電力,空冷,Cooling,能力比,13,43,Cq_AS_A,0.95,,
AirSourceHP_Scroll,空冷ヒートポンプ(スクロール),電力,空冷,Cooling,入力比,5,43,Cp_AS_A,1.2,,
AirSourceHP_Scroll,空冷ヒートポンプ(スクロール),電力,空冷,Cooling,部分負荷特性,0.1,1,Cx_AS_B,1,,
AirSourceHP_Scroll,空冷ヒートポンプ(スクロール),電力,空冷,Cooling,送水温度特性,5,25,Cw_AS_A,1,,
AirSourceHP_Scroll,空冷ヒートポンプ(スクロール),電力,空冷,Heating,能力比,-15.5,-8,Hq_AS_C1,0.95,,
AirSourceHP_Scroll,空冷ヒートポンプ(スクロール),電力,空冷,Heating,能力比,-8,4.5,Hq_AS_C2,0.95,,
AirSourceHP_Scroll,空冷ヒートポンプ(スクロール),電力,空冷,Heating,能力比,4.5,19.5,Hq_AS_C3,0.95,,
AirSourceHP_Scroll,空冷ヒートポンプ(スクロール),電力,空冷,Heating,入力比,-15.5,19.5,Hp_AS_A,1.2,,
AirSourceHP_Scroll,空冷ヒートポンプ(スクロール),電力,空冷,Heating,部分負荷特性,0.1,1,Hx_AS_B,1,,
AirSourceHP_Scroll,空冷ヒートポンプ(スクロール),電力,空冷,Heating,送水温度特性,35,55,Hw_AS_A,1,,
EHP,電気式ビル用マルチ,電力,空冷,Cooling,能力比,15,43,Cq_AS_B,0.95,,
EHP,電気式ビル用マルチ,電力,空冷,Cooling,入力比,15,43,Cp_AS_B,1.2,,
EHP,電気式ビル用マルチ,電力,空冷,Cooling,部分負荷特性,0.3,1,Cx_AS_C,1,,
EHP,電気式ビル用マルチ,電力,空冷,Heating,能力比,-20,-8,Hq_AS_B1,0.95,,
EHP,電気式ビル用マルチ,電力,空冷,Heating,能力比,-8,4.5,Hq_AS_B2,0.95,,
EHP,電気式ビル用マルチ,電力,空冷,Heating,能力比,4.5,15,Hq_AS_B3,0.95,,
EHP,電気式ビル用マルチ,電力,空冷,Heating,入力比,-20,15,Hp_AS_B,1.2,,
EHP,電気式ビル用マルチ,電力,空冷,Heating,部分負荷特性,0.3,1,Hx_AS_C,1,,
GHP,ガス式ビル用マルチ,ガス,空冷,Cooling,能力比,25,43,Cq_AS_A,0.95,,
GHP,ガス式ビル用マルチ,ガス,空冷,Cooling,入力比,-5,43,Cp_AS_B,1.2,,
GHP,ガス式ビル用マルチ,ガス,空冷,Cooling,部分負荷特性,0.3,1,Cx_AS_C,1,,
GHP,ガス式ビル用マルチ,ガス,空冷,Heating,能力比,-8,18,Hq_AS_D,0.95,,
GHP,ガス式ビル用マルチ,ガス,空冷,Heating,入力比,-8,18,Hp_AS_C,1.2,,
GHP,ガス式ビル用マルチ,ガス,空冷,Heating,部分負荷特性,0.3,1,Hx_AS_C,1,,
WaterCoolingChiller_Screw,水冷チラー(スクリュー),電力,水冷,Cooling,能力比,22,35,Cq_WS_A,0.95,,
WaterCoolingChiller_Screw,水冷チラー(スクリュー),電力,水冷,Cooling,入力比,22,35,Cp_WS_A,1.2,,
WaterCoolingChiller_Screw,水冷チラー(スクリュー),電力,水冷,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
WaterCoolingChiller_Screw,水冷チラー(スクリュー),電力,水冷,Cooling,送水温度特性,5,20,Cw_WS_B,1,,
WaterCoolingChiller_Scroll,水冷チラー(スクロール),電力,水冷,Cooling,能力比,25,45,Cq_WS_A,0.95,,
WaterCoolingChiller_Scroll,水冷チラー(スクロール),電力,水冷,Cooling,入力比,25,45,Cp_WS_A,1.2,,
WaterCoolingChiller_Scroll,水冷チラー(スクロール),電力,水冷,Cooling,部分負荷特性,0.1,1,Cx_WS_E,1,,
WaterCoolingChiller_Scroll,水冷チラー(スクロール),電力,水冷,Cooling,送水温度特性,5,25,Cw_WS_B,1,,
TurboREF,ターボ冷凍機(ベーン制御),電力,水冷,Cooling,能力比,12,33,Cq_WS_B,0.95,,
TurboREF,ターボ冷凍機(ベーン制御),電力,水冷,Cooling,入力比,12,33,Cp_WS_B,1.2,,
TurboREF,ターボ冷凍機(ベーン制御),電力,水冷,Cooling,部分負荷特性,0.2,1,Cx_WS_B1,1,,
TurboREF,ターボ冷凍機(ベーン制御),電力,水冷,Cooling,送水温度特性,4,15,Cw_WS_A,1,,
TurboREF_INV,ターボ冷凍機(インバータ制御),電力,水冷,Cooling,能力比,12,33,Cq_WS_B,0.95,,
TurboREF_INV,ターボ冷凍機(インバータ制御),電力,水冷,Cooling,入力比,12,33,Cp_WS_C,1.2,,
TurboREF_INV,ターボ冷凍機(インバータ制御),電力,水冷,Cooling,部分負荷特性,0.2,1,Cx_WS_B3,1,0,24
TurboREF_INV,ターボ冷凍機(インバータ制御),電力,水冷,Cooling,部分負荷特性,0.2,1,Cx_WS_B2,1,24,32
TurboREF_INV,ターボ冷凍機(インバータ制御),電力,水冷,Cooling,部分負荷特性,0.2,1,Cx_WS_B1,1,32,60
TurboREF_INV,ターボ冷凍機(インバータ制御),電力,水冷,Cooling,送水温度特性,4,15,Cw_WS_A,1,,
TurboREF_Brine_Storage,ブラインターボ冷凍機,電力,水冷,Cooling,能力比,12,30,Cq_WS_B,0.95,,
TurboREF_Brine_Storage,ブラインターボ冷凍機,電力,水冷,Cooling,入力比,12,30,Cp_WS_B,1.2,,
TurboREF_Brine_Storage,ブラインターボ冷凍機,電力,水冷,Cooling,部分負荷特性,0.3,1,Cx_WS_C,1,,
TurboREF_Brine_Storage,ブラインターボ冷凍機,電力,水冷,Cooling,送水温度特性,-5,0,Cw_WS_C,1,,
